epoch,loss,lr,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,1.0555082559585571,0.001,0.6265400052070618,0.9175294041633606,0.6883999705314636
1,0.6574815511703491,0.001,0.7728350162506104,0.6995288729667664,0.7644000053405762
2,0.5122907757759094,0.001,0.8233100175857544,0.6169013381004333,0.7971000075340271
3,0.4222216010093689,0.001,0.8542100191116333,0.557644784450531,0.8163999915122986
4,0.35660216212272644,0.001,0.8760449886322021,0.5676973462104797,0.820900022983551
5,0.30469971895217896,0.001,0.8938649892807007,0.6108147501945496,0.817300021648407
6,0.2642573118209839,0.001,0.9076250195503235,0.6533265709877014,0.8216999769210815
7,0.2311212718486786,0.001,0.9184849858283997,0.7212326526641846,0.8116000294685364
8,0.1443818360567093,0.000100000005,0.9511449933052063,0.5790736675262451,0.8461999893188477
9,0.10443482547998428,0.000100000005,0.9669749736785889,0.606258749961853,0.8453999757766724
10,0.08288590610027313,0.000100000005,0.9757850170135498,0.6439807415008545,0.8442000150680542
11,0.06621582806110382,0.000100000005,0.9826350212097168,0.6887383460998535,0.8432000279426575
12,0.052235811948776245,0.000100000005,0.9880849719047546,0.741720974445343,0.8422999978065491
13,0.04029957205057144,0.000100000005,0.9921450018882751,0.8019834756851196,0.8399999737739563
14,0.030035700649023056,0.000100000005,0.9953250288963318,0.8696765899658203,0.8384000062942505
15,0.025169583037495613,1.0000001e-05,0.9949749708175659,0.8760361075401306,0.8381999731063843
16,0.02116725593805313,1.0000001e-05,0.9971650242805481,0.8840146660804749,0.8379999995231628
17,0.019348863512277603,1.0000001e-05,0.9979249835014343,0.8926950097084045,0.8375999927520752
18,0.017947450280189514,1.0000001e-05,0.9983050227165222,0.9019074440002441,0.8373000025749207
19,0.016741285100579262,1.0000001e-05,0.99857497215271,0.9115180373191833,0.8377000093460083
20,0.015654239803552628,1.0000001e-05,0.9988099932670593,0.9210954904556274,0.8371999859809875
21,0.014655553735792637,1.0000001e-05,0.9989749789237976,0.931168258190155,0.8371999859809875
22,0.014357726089656353,1.0000001e-06,0.9990050196647644,0.9336569309234619,0.8367999792098999
23,0.01391145121306181,1.0000001e-06,0.9990749955177307,0.9348262548446655,0.8366000056266785
24,0.013696031644940376,1.0000001e-06,0.9991499781608582,0.93589186668396,0.8366000056266785
25,0.013542190194129944,1.0000001e-06,0.9991649985313416,0.9369257092475891,0.8371000289916992
26,0.01341300643980503,1.0000001e-06,0.9991999864578247,0.9380083084106445,0.8367999792098999
27,0.013296381570398808,1.0000001e-06,0.9992300271987915,0.9390352368354797,0.8371000289916992
28,0.01318661030381918,1.0000001e-06,0.9992550015449524,0.9401076436042786,0.836899995803833
29,0.013081340119242668,1.0000001e-06,0.9992650151252747,0.9411569237709045,0.836899995803833
