epoch,loss,lr,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,1.061405897140503,0.001,0.6247000098228455,0.9215221405029297,0.695900022983551
1,0.6593632698059082,0.001,0.7713500261306763,0.727622389793396,0.7649999856948853
2,0.5175848603248596,0.001,0.8218600153923035,0.6276896595954895,0.7936999797821045
3,0.429464727640152,0.001,0.8511499762535095,0.5913114547729492,0.8097000122070312
4,0.3642180860042572,0.001,0.8731849789619446,0.615634024143219,0.8138999938964844
5,0.31359466910362244,0.001,0.8906000256538391,0.59949791431427,0.8201000094413757
6,0.27234387397766113,0.001,0.9044650197029114,0.6608493328094482,0.8162999749183655
7,0.24034437537193298,0.001,0.9156649708747864,0.6921375393867493,0.8181999921798706
8,0.1483372002840042,0.000100000005,0.9492800235748291,0.5688583850860596,0.8496999740600586
9,0.10800516605377197,0.000100000005,0.9655399918556213,0.6019928455352783,0.8476999998092651
10,0.08655343949794769,0.000100000005,0.9743649959564209,0.6432453393936157,0.847100019454956
11,0.07001248747110367,0.000100000005,0.9811350107192993,0.686296820640564,0.8467000126838684
12,0.056163810193538666,0.000100000005,0.9868299961090088,0.7355570197105408,0.8454999923706055
13,0.04436329007148743,0.000100000005,0.991379976272583,0.7917799949645996,0.8442999720573425
14,0.03417486324906349,0.000100000005,0.9946050047874451,0.8527575135231018,0.8435999751091003
15,0.02943042665719986,1.0000001e-05,0.9940800070762634,0.8348782062530518,0.8453999757766724
16,0.025156164541840553,1.0000001e-05,0.9962649941444397,0.8402271270751953,0.8452000021934509
17,0.02325790375471115,1.0000001e-05,0.9970499873161316,0.8470302820205688,0.84579998254776
18,0.021796569228172302,1.0000001e-05,0.9974949955940247,0.854500949382782,0.84579998254776
19,0.020531533285975456,1.0000001e-05,0.9978600144386292,0.8623449206352234,0.8460000157356262
20,0.01938438229262829,1.0000001e-05,0.9981200098991394,0.8705936670303345,0.8460000157356262
21,0.018326161429286003,1.0000001e-05,0.9983500242233276,0.8791564702987671,0.8460000157356262
22,0.018102992326021194,1.0000001e-06,0.9982100129127502,0.8759672045707703,0.8456000089645386
23,0.017593644559383392,1.0000001e-06,0.9984049797058105,0.8763857483863831,0.8458999991416931
24,0.017347481101751328,1.0000001e-06,0.9984850287437439,0.8771258592605591,0.8461999893188477
25,0.017168264836072922,1.0000001e-06,0.9985550045967102,0.877856433391571,0.8461999893188477
26,0.017019515857100487,1.0000001e-06,0.9986000061035156,0.8786419630050659,0.8463000059127808
27,0.016884617507457733,1.0000001e-06,0.9986299872398376,0.8795338869094849,0.8461999893188477
28,0.016759391874074936,1.0000001e-06,0.9986649751663208,0.8803316354751587,0.8460999727249146
29,0.01663988083600998,1.0000001e-06,0.9986900091171265,0.8811795711517334,0.8458999991416931
