epoch,loss,lr,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,1.084706425666809,0.001,0.616694986820221,0.7910329103469849,0.7311000227928162
1,0.6764070987701416,0.001,0.7661799788475037,0.6569333672523499,0.7748000025749207
2,0.5310819745063782,0.001,0.8158599734306335,0.6232928037643433,0.7944999933242798
3,0.4408971071243286,0.001,0.8477699756622314,0.6119099855422974,0.803600013256073
4,0.37548890709877014,0.001,0.8697999715805054,0.6452901363372803,0.8044999837875366
5,0.3243003189563751,0.001,0.8866199851036072,0.697981595993042,0.7968999743461609
6,0.28376251459121704,0.001,0.9010400176048279,0.6850264072418213,0.8105999827384949
7,0.25108808279037476,0.001,0.9117749929428101,0.7313100695610046,0.8095999956130981
8,0.15115107595920563,0.000100000005,0.9491649866104126,0.638327419757843,0.8389000296592712
9,0.10988129675388336,0.000100000005,0.9652699828147888,0.6750152111053467,0.8384000062942505
10,0.08781083673238754,0.000100000005,0.9752150177955627,0.7166588306427002,0.8374000191688538
11,0.07102343440055847,0.000100000005,0.9818599820137024,0.7599138021469116,0.835099995136261
12,0.057156484574079514,0.000100000005,0.9873650074005127,0.8079822659492493,0.8335000276565552
13,0.04543256759643555,0.000100000005,0.9915500283241272,0.8640779256820679,0.8325999975204468
14,0.035418782383203506,0.000100000005,0.9948049783706665,0.9227590560913086,0.8324000239372253
15,0.030916154384613037,1.0000001e-05,0.9942899942398071,0.9177622199058533,0.8331000208854675
16,0.027082934975624084,1.0000001e-05,0.9961199760437012,0.9237251877784729,0.8324999809265137
17,0.02523791417479515,1.0000001e-05,0.9969249963760376,0.93088299036026,0.8327000141143799
18,0.023800930008292198,1.0000001e-05,0.9974200129508972,0.9385167956352234,0.8331999778747559
19,0.022553345188498497,1.0000001e-05,0.9978049993515015,0.9463844895362854,0.8331999778747559
20,0.021420937031507492,1.0000001e-05,0.9980800151824951,0.9546284079551697,0.8334000110626221
21,0.020379485562443733,1.0000001e-05,0.9983000159263611,0.963127076625824,0.8330000042915344
22,0.020462071523070335,1.0000001e-06,0.9980250000953674,0.9622644782066345,0.8324000239372253
23,0.01989619806408882,1.0000001e-06,0.9982749819755554,0.9631417989730835,0.832099974155426
24,0.019630953669548035,1.0000001e-06,0.9983350038528442,0.9641001224517822,0.832099974155426
25,0.019443903118371964,1.0000001e-06,0.9984149932861328,0.9650118947029114,0.832099974155426
26,0.01928877830505371,1.0000001e-06,0.998449981212616,0.9659203886985779,0.8321999907493591
27,0.01915111392736435,1.0000001e-06,0.9984850287437439,0.9668058753013611,0.8317999839782715
28,0.019023602828383446,1.0000001e-06,0.9985299706459045,0.9676966667175293,0.8319000005722046
29,0.018902350217103958,1.0000001e-06,0.9985449910163879,0.9685788154602051,0.832099974155426
