epoch,loss,lr,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,1.2582961320877075,0.001,0.5393350124359131,0.9738838076591492,0.6557000279426575
1,0.8116509318351746,0.001,0.7128850221633911,0.7182530164718628,0.7479000091552734
2,0.6259884238243103,0.001,0.7813249826431274,0.6648880839347839,0.7757999897003174
3,0.5170841813087463,0.001,0.8206149935722351,0.6225630640983582,0.7953000068664551
4,0.44285550713539124,0.001,0.84614497423172,0.6056264042854309,0.8011000156402588
5,0.3868134617805481,0.001,0.8654900193214417,0.5939621329307556,0.8120999932289124
6,0.34101781249046326,0.001,0.8815749883651733,0.5864542722702026,0.8148000240325928
7,0.30367639660835266,0.001,0.8935850262641907,0.6311905980110168,0.8113999962806702
8,0.19570618867874146,0.000100000005,0.932129979133606,0.5634241700172424,0.8442000150680542
9,0.1645030826330185,0.000100000005,0.9434800148010254,0.5839775204658508,0.8446999788284302
10,0.14587683975696564,0.000100000005,0.950344979763031,0.6051441431045532,0.8443999886512756
11,0.13054446876049042,0.000100000005,0.9564849734306335,0.6320335268974304,0.843500018119812
12,0.11686789989471436,0.000100000005,0.9619799852371216,0.6605472564697266,0.8438000082969666
13,0.10440053045749664,0.000100000005,0.9670900106430054,0.6914412975311279,0.8439000248908997
14,0.09279313683509827,0.000100000005,0.9718300104141235,0.7253902554512024,0.8435999751091003
15,0.08300647139549255,1.0000001e-05,0.9736449718475342,0.7209752202033997,0.84170001745224
16,0.07824985682964325,1.0000001e-05,0.9761549830436707,0.7242368459701538,0.84170001745224
17,0.07601426541805267,1.0000001e-05,0.9772049784660339,0.7287393808364868,0.8410000205039978
18,0.07416050136089325,1.0000001e-05,0.9779850244522095,0.7335325479507446,0.8407999873161316
19,0.07247518748044968,1.0000001e-05,0.9786649942398071,0.7383882403373718,0.8406000137329102
20,0.07087799906730652,1.0000001e-05,0.979449987411499,0.7432574033737183,0.8400999903678894
21,0.06935010850429535,1.0000001e-05,0.980085015296936,0.7484568953514099,0.8399999737739563
22,0.06852301955223083,1.0000001e-06,0.9800350069999695,0.750283420085907,0.8398000001907349
23,0.06789912283420563,1.0000001e-06,0.9803850054740906,0.7502360939979553,0.8410000205039978
24,0.06760725378990173,1.0000001e-06,0.9805449843406677,0.7505202293395996,0.8406000137329102
25,0.06737601011991501,1.0000001e-06,0.980679988861084,0.7507885098457336,0.8410999774932861
26,0.06717292964458466,1.0000001e-06,0.9807599782943726,0.751154363155365,0.8409000039100647
27,0.06698566675186157,1.0000001e-06,0.9808949828147888,0.7515900731086731,0.8407999873161316
28,0.06680616736412048,1.0000001e-06,0.9809550046920776,0.7520300149917603,0.8407999873161316
29,0.0666300356388092,1.0000001e-06,0.9810550212860107,0.7525468468666077,0.8407999873161316
